Unnamed: 0,Map,Team,InternalTeamId,MatchId,RoundId,RoundWinner,MatchWinner,Survived,AbnormalMatch,TimeAlive,TravelledDistance,RLethalGrenadesThrown,RNonLethalGrenadesThrown,PrimaryAssaultRifle,PrimarySniperRifle,PrimaryHeavy,PrimarySMG,PrimaryPistol,FirstKillTime,RoundKills,RoundAssists,RoundHeadshots,RoundFlankKills,RoundStartingEquipmentValue,TeamStartingEquipmentValue,MatchKills,MatchFlankKills,MatchAssists,MatchHeadshots
600,de_inferno,Terrorist,1,4,1,0,True,False,False,5.11202489957045e+16,10.083.140.737.457.000,0.0,4,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0,750.0,4400.0,0,0,0,0
601,de_inferno,Terrorist,1,4,1,0,True,False,False,4348662552266170.0,60.960.883.184.688.400,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0,800.0,4400.0,0,0,0,0
602,de_inferno,Terrorist,1,4,1,0,True,False,False,3735469847054540.0,5.642.252.383.582.750,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0,1000.0,4400.0,0,0,0,0
603,de_inferno,Terrorist,1,4,1,0,True,False,False,4767886136441470.0,8.963.473.313.229.970,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0,850.0,4400.0,0,0,0,0
604,de_inferno,Terrorist,1,4,1,0,True,True,False,5312251089027310.0,10.865.649.734.393.100,1.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0,1000.0,4400.0,0,0,0,0
605,de_inferno,CounterTerrorist,2,4,1,1,False,True,False,5312251089027310.0,889.485.801.774.066,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0,850.0,3750.0,0,0,0,0
606,de_inferno,CounterTerrorist,2,4,1,1,False,True,False,5312251089027310.0,8.089.617.569.295.990,0.0,2,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0,400.0,3750.0,0,0,0,0
607,de_inferno,CounterTerrorist,2,4,1,1,False,True,False,5312251089027310.0,6.885.879.208.139.740,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0,800.0,3750.0,0,0,1,0
608,de_inferno,CounterTerrorist,2,4,1,1,False,True,False,5312251089027310.0,8.772.206.210.917.240,0.0,0,0.0,0.0,0.0,0.0,1,373.547,3.0,0,1.0,1,850.0,3750.0,3,1,0,1
609,de_inferno,CounterTerrorist,2,4,1,1,False,True,False,5312251089027310.0,7.849.180.428.641.930,0.0,0,0.0,0.0,0.0,0.0,1,5.112.025,2.0,0,2.0,0,850.0,3750.0,2,0,0,2
610,de_inferno,Terrorist,1,4,2,1,True,True,False,5287222815345200.0,916.978.879.935.048,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0,300.0,1300.0,0,0,0,0
611,de_inferno,Terrorist,1,4,2,1,True,False,False,4874256299590430.0,7.071.749.552.489.450,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0,200.0,1300.0,0,0,0,0
612,de_inferno,Terrorist,1,4,2,1,True,False,False,4117151020706680.0,7.019.916.431.220.190,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0,300.0,1300.0,0,0,0,0
613,de_inferno,,1,4,2,1,True,False,False,3322503331299760.0,569.836.702.516.348,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0,300.0,1300.0,0,0,0,0
614,de_inferno,Terrorist,1,4,2,1,True,False,False,4386204962789330.0,7.091.953.517.625.200,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0,200.0,1300.0,0,0,0,0
615,de_inferno,CounterTerrorist,2,4,2,0,False,True,False,5287222815345200.0,6.573.500.173.193.060,0.0,0,10.0,0.0,0.0,0.0,0,332.250.328,3.0,0,2.0,0,4300.0,19950.0,3,0,0,2
616,de_inferno,CounterTerrorist,2,4,2,0,False,True,False,5287222815345200.0,8.623.758.078.406.500,0.0,0,10.0,0.0,0.0,0.0,0,0.0,0.0,1,0.0,0,3850.0,19950.0,0,0,1,0
617,de_inferno,CounterTerrorist,2,4,2,0,False,True,False,5287222815345200.0,63.335.001.497.729.300,1.0,0,0.0,0.0,0.0,1.0,0,4.117.151,1.0,0,1.0,0,3550.0,19950.0,1,0,1,1
618,de_inferno,CounterTerrorist,2,4,2,0,False,True,False,5287222815345200.0,5.389.651.970.334.480,0.0,0,10.0,0.0,0.0,0.0,0,4.386.205,1.0,0,0.0,0,4500.0,19950.0,4,1,0,1
619,de_inferno,CounterTerrorist,2,4,2,0,False,True,False,5287222815345200.0,843.640.207.290.816,0.0,0,10.0,0.0,0.0,0.0,0,5.112.025,0.0,1,0.0,0,3750.0,19950.0,2,0,1,2
620,de_inferno,Terrorist,1,4,3,1,True,False,False,3.10976300500185e+16,6.133.043.568.149.870,0.0,2,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0,500.0,2000.0,0,0,0,0
621,de_inferno,Terrorist,1,4,3,1,True,False,False,3547757794438730.0,6.430.794.873.746.870,0.0,2,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0,500.0,2000.0,0,0,0,0
622,de_inferno,Terrorist,1,4,3,1,True,True,False,3923181899670340.0,6.127.407.532.343.910,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0,300.0,2000.0,0,0,0,0
623,de_inferno,Terrorist,1,4,3,1,True,False,False,2.47154202610811e+16,4.673.078.148.777.400,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0,300.0,2000.0,0,0,0,0
624,de_inferno,Terrorist,1,4,3,1,True,False,False,2484056162949160.0,4.861.009.093.131.820,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0,400.0,2000.0,0,0,0,0
625,de_inferno,CounterTerrorist,2,4,3,0,False,True,False,3923181899670340.0,7.821.074.818.592.190,1.0,0,10.0,0.0,0.0,0.0,0,2.484.056,1.0,2,1.0,0,5100.0,22850.0,4,0,2,3
626,de_inferno,CounterTerrorist,2,4,3,0,False,True,False,3923181899670340.0,5.584.514.678.915.430,1.0,1,10.0,0.0,0.0,0.0,0,2.471.542,3.0,1,1.0,0,4750.0,22850.0,3,0,2,1
627,de_inferno,,2,4,3,0,False,True,False,3923181899670340.0,92.207.583.079.108,1.0,0,0.0,0.0,0.0,1.0,0,3.923.182,1.0,0,0.0,0,3250.0,22850.0,2,0,1,1
628,de_inferno,CounterTerrorist,2,4,3,0,False,True,False,3923181899670340.0,8.847.488.730.785.790,0.0,0,10.0,0.0,0.0,0.0,0,4.386.205,0.0,0,0.0,0,5500.0,22850.0,4,1,0,1
630,de_inferno,Terrorist,1,4,4,1,True,False,False,5925443794238940.0,7.564.340.903.295.400,0.0,2,10.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,4350.0,23350.0,0,0,0,0
631,de_inferno,Terrorist,1,4,4,1,True,False,False,5606333304792070.0,7.873.270.217.202.580,0.0,0,10.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,4700.0,23350.0,0,0,0,0
632,de_inferno,Terrorist,1,4,4,1,True,False,False,546242073111996.0,7.758.589.766.545.360,0.0,0,10.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,4700.0,23350.0,0,0,0,0
633,de_inferno,Terrorist,1,4,4,1,True,False,False,8371957546664950.0,1.150.812.733.535.920,0.0,2,10.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,4800.0,23350.0,0,0,0,0
634,de_inferno,Terrorist,1,4,4,1,True,True,False,8584697872962860.0,1.074.761.878.069.880,0.0,1,10.0,0.0,0.0,0.0,0,47.803.999.999.999.900,2.0,0,1.0,0,4800.0,23350.0,2,0,0,1
635,de_inferno,CounterTerrorist,2,4,4,0,False,True,False,8584697872962860.0,957.090.382.670.976,1.0,3,10.0,0.0,0.0,0.0,0,2.484.056,0.0,0,0.0,0,5100.0,25100.0,4,0,2,3
636,de_inferno,CounterTerrorist,2,4,4,0,False,False,False,4.78040027328252e+16,9.573.659.013.094.170,1.0,2,10.0,0.0,0.0,0.0,0,2.471.542,0.0,1,0.0,0,4750.0,25100.0,3,0,3,1
637,de_inferno,CounterTerrorist,2,4,4,0,False,True,False,8584697872962860.0,11.722.056.538.389.900,1.0,3,10.0,0.0,0.0,0.0,0,3.923.182,0.0,0,0.0,0,5400.0,25100.0,2,0,1,1
638,de_inferno,CounterTerrorist,2,4,4,0,False,False,False,849709891507549.0,9.617.875.974.783.590,0.0,1,10.0,0.0,0.0,0.0,0,5.462.420.649.999.990,4.0,0,3.0,0,5600.0,25100.0,8,1,0,4
639,de_inferno,CounterTerrorist,2,4,4,0,False,True,False,8584697872962860.0,11.581.714.645.977.800,1.0,3,10.0,0.0,0.0,0.0,0,8.584.698,1.0,1,0.0,0,4250.0,25100.0,3,0,2,2
640,de_inferno,Terrorist,1,4,5,1,True,False,False,3.41635935760767e+16,41.155.516.415.307.800,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0,500.0,1700.0,0,0,0,0
641,de_inferno,Terrorist,1,4,5,1,True,False,False,4.14843636280931e+16,755.485.692.232.555,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0,300.0,1700.0,0,0,0,0
642,de_inferno,Terrorist,1,4,5,1,True,False,False,3053449389217110.0,4.900.661.664.971.190,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0,300.0,1700.0,0,0,0,0
643,de_inferno,Terrorist,1,4,5,1,True,True,False,4248549457537740.0,5.978.231.731.876.630,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0,300.0,1700.0,0,0,0,0
644,de_inferno,Terrorist,1,4,5,1,True,False,False,3103505936581320.0,5.485.785.821.336.680,0.0,0,0.0,0.0,0.0,0.0,1,47.803.999.999.999.900,0.0,0,0.0,0,300.0,1700.0,2,0,0,1
645,de_inferno,CounterTerrorist,2,4,5,0,False,True,False,4248549457537740.0,5.661.859.260.471.470,1.0,0,10.0,0.0,0.0,0.0,0,30.534.494.399.999.900,3.0,1,3.0,0,5100.0,26600.0,7,0,3,6
646,de_inferno,CounterTerrorist,2,4,5,0,False,True,False,4248549457537740.0,5.880.126.793.728.050,1.0,0,10.0,0.0,0.0,0.0,0,424.854.927,1.0,0,1.0,0,5500.0,26600.0,4,0,3,2
